epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2756.9,1.1793,1.31556,1.23191,0.62872,0.48829,0.52077,0.36695,1.14179,1.24056,1.15695,3.96032e-05,3.96032e-05,3.96032e-05
2,5524.73,1.16846,1.33324,1.22026,0.6024,0.46873,0.50048,0.34862,1.16317,1.28271,1.17339,7.5346e-05,7.5346e-05,7.5346e-05
3,8268.49,1.17883,1.353,1.22483,0.60563,0.45211,0.48925,0.33853,1.18416,1.32425,1.1919,0.000107162,0.000107162,0.000107162
4,11041.4,1.18028,1.37032,1.231,0.59191,0.45564,0.48575,0.33505,1.18626,1.32536,1.19276,0.000101329,0.000101329,0.000101329
5,13817.2,1.17006,1.35276,1.2258,0.60048,0.46259,0.49272,0.34366,1.18381,1.30849,1.19816,9.5438e-05,9.5438e-05,9.5438e-05
6,16544,1.16854,1.33457,1.22304,0.60806,0.45892,0.49233,0.34089,1.18159,1.31379,1.19114,8.95475e-05,8.95475e-05,8.95475e-05
7,19301.4,1.16553,1.32432,1.22232,0.61244,0.45492,0.49103,0.34045,1.17969,1.29737,1.18893,8.3657e-05,8.3657e-05,8.3657e-05
8,22076.4,1.16188,1.30495,1.21402,0.6015,0.46006,0.49157,0.34037,1.18362,1.30561,1.19526,7.77665e-05,7.77665e-05,7.77665e-05
9,24858.6,1.15593,1.28825,1.21181,0.61649,0.45197,0.49341,0.34209,1.17688,1.29562,1.18941,7.1876e-05,7.1876e-05,7.1876e-05
10,27658.2,1.14319,1.27017,1.20605,0.61518,0.45721,0.49181,0.34199,1.17638,1.29283,1.18835,6.59855e-05,6.59855e-05,6.59855e-05
11,30350.6,1.12794,1.17946,1.18489,0.59631,0.45382,0.48595,0.3354,1.1848,1.31839,1.19783,6.0095e-05,6.0095e-05,6.0095e-05
12,2811.96,1.11115,1.13336,1.17558,0.61012,0.45365,0.48991,0.33831,1.18135,1.29787,1.19146,5.42045e-05,5.42045e-05,5.42045e-05
13,5551.51,1.10282,1.10686,1.1674,0.59471,0.45732,0.49453,0.34187,1.17912,1.28337,1.18534,4.8314e-05,4.8314e-05,4.8314e-05
14,8267.14,1.09222,1.09386,1.16257,0.60423,0.46216,0.49515,0.34345,1.17675,1.28669,1.18697,4.24235e-05,4.24235e-05,4.24235e-05
15,11000.9,1.08936,1.07385,1.15913,0.60941,0.45773,0.49563,0.34261,1.17654,1.28408,1.18601,3.6533e-05,3.6533e-05,3.6533e-05
16,13757.8,1.07718,1.06166,1.15234,0.62368,0.46198,0.49901,0.34507,1.17354,1.27772,1.18474,3.06425e-05,3.06425e-05,3.06425e-05
17,16466.8,1.07554,1.05038,1.14751,0.62104,0.46083,0.5004,0.34801,1.16814,1.27063,1.18229,2.4752e-05,2.4752e-05,2.4752e-05
18,19215,1.07052,1.03409,1.14546,0.63156,0.45863,0.49996,0.34583,1.17074,1.27176,1.18409,1.88615e-05,1.88615e-05,1.88615e-05
19,21966.2,1.06587,1.02869,1.14313,0.61411,0.46498,0.50045,0.34739,1.16908,1.26782,1.18275,1.2971e-05,1.2971e-05,1.2971e-05
20,24684.5,1.05916,1.01357,1.13821,0.61702,0.46707,0.5031,0.3488,1.16495,1.26468,1.18027,7.0805e-06,7.0805e-06,7.0805e-06
